Date,Open,High,Low,Close,Volume,returns,returns_5d,returns_10d,returns_20d,volatility_5d,volatility_10d,volatility_20d,volatility_60d,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,rsi,atr,volume_sma_20,volume_ratio,volume_change,momentum_5,momentum_10,momentum_20,roc_5,roc_10,bb_middle,bb_upper,bb_lower,bb_width,macd,macd_signal,macd_histogram,future_volatility,target
2014-03-31,154.027,154.533,153.079,154.313,120847210,0.008245617473913835,0.008561923622412593,0.008120467759848315,0.015357384901861337,0.006213217999188132,0.005877126604414859,0.006265950897643725,0.007414054266929961,153.2076,153.44310000000002,153.5582,150.89596,153.2938895918214,152.76005916221004,52.160598843143845,1.6961428571428558,145139865.45,0.8326258924473876,-0.018939770481809948,1.3100000000000023,1.242999999999995,2.3339999999999748,0.8561923622412648,0.8120467759848402,153.5582,155.29662210366976,151.81977789633024,0.0226418661285397,0.5338304296113563,0.6886093700741347,-0.1547789404627784,0.0084001329934596,1
2014-04-01,154.811,155.453,154.303,155.348,107988257,0.006707147161937321,0.010524946334482754,0.007640915872089371,0.008020141196013464,0.006506247573915448,0.005821190580595654,0.005632379210144601,0.007457016157142003,153.53119999999998,153.5609,153.62,150.98578,153.60990657769503,152.9517584835278,55.86250196201539,1.691499999999999,140202046.1,0.7702331028962066,-0.10640670148694376,1.6180000000000234,1.1780000000000257,1.2360000000000184,1.0524946334482688,0.764091587208942,153.62,155.52154142460134,151.71845857539867,0.024756430472612074,0.6581480941672169,0.6825171148927511,-0.024369020725534263,0.008292972125162132,1
2014-04-02,155.528,156.036,155.253,155.834,95373759,0.0031284599737362306,0.021058838946402814,0.016271137805776714,0.010288692810881184,0.003931300389586925,0.00542852600754515,0.005664519644977709,0.0074496122765981545,154.174,153.81040000000002,153.69935,151.07628,153.95207479651117,153.16525785511834,66.09300304215564,1.5519285714285718,139593362.55,0.6832256008292565,-0.11681360872414115,3.2139999999999986,2.4950000000000045,1.586999999999989,2.1058838946402823,1.6271137805776774,153.69935,155.82973531479047,151.56896468520955,0.02772146160397502,0.7868169413928285,0.7033770801927667,0.08343986120006186,0.00826144190972978,1
2014-04-03,156.074,156.122,155.175,155.625,93771653,-0.0013411707329594735,0.02167091200336113,0.008933723184243458,0.006747228008435746,0.00370070941752975,0.005273997540126939,0.005665303723771573,0.007418340425404758,154.8342,153.94819999999999,153.75150000000002,151.1609,154.20944790474022,153.34746097696143,67.32778466442355,1.5402857142857158,139263043.85,0.6733419750684273,-0.016798184498526436,3.3009999999999877,1.377999999999986,1.0430000000000064,2.167091200336117,0.8933723184243361,153.75150000000002,156.01948018185,151.48351981815003,0.029501893403966688,0.861986927778787,0.7350990497099708,0.1268878780688163,0.008263113970234338,1
2014-04-04,156.485,156.543,153.568,153.797,205182209,-0.011746184738955834,0.004874192262709798,0.0010609630680709081,-0.005567122295645821,0.008024137670944056,0.006502132897202593,0.00627721264029527,0.007586497538384042,154.9834,153.9645,153.70845,151.23326,154.14599438093404,153.38076016385318,53.09019807872143,1.6298571428571458,142553961.2,1.4393301124206153,1.1881048529665996,0.7460000000000093,0.16300000000001091,-0.86099999999999,0.48741922627098766,0.10609630680709409,153.70845,155.93631180002288,151.48058819997712,0.028988149968630597,0.7652342170808595,0.7411260831841485,0.02410813389671096,0.007803444313532485,1
2014-04-07,153.394,153.69,151.798,152.113,170569731,-0.010949498364727472,-0.014256737928755148,-0.005816879407593234,-0.015851141605688235,0.008277999646390897,0.007307169903969217,0.006717832413383856,0.007725550611199165,154.5434,153.87550000000002,153.58595,151.33664,153.8332260146365,153.28685200356776,41.67004130558035,1.679000000000002,146521444.9,1.1641280982207949,-0.1686914190498846,-2.1999999999999886,-0.8899999999999864,-2.4499999999999886,-1.425673792875512,-0.5816879407593226,153.58595,155.88428252827512,151.28761747172487,0.029928942436142438,0.5463740110687354,0.702175668761066,-0.15580165769233056,0.0076540366641982965,1
2014-04-08,152.018,152.974,151.481,152.725,136499906,0.004023324765141778,-0.016884671833560905,-0.006537435764001787,-0.007021878352459376,0.007560033094861592,0.0072517831431809735,0.006725767802242051,0.00773420208792433,154.0188,153.775,153.53195,151.4666,153.66272970469242,153.2452333366368,47.46866754617413,1.6415000000000017,147320481.0,0.9265507760594401,-0.1997413304239778,-2.623000000000019,-1.0049999999999955,-1.0800000000000125,-1.68846718335609,-0.6537435764001792,153.53195,155.85918060852688,151.2047193914731,0.030315912857576413,0.4174963680556232,0.6452398086199774,-0.22774344056435425,0.007708590828247069,1
2014-04-09,153.155,154.438,152.689,154.391,121394961,0.010908495662137918,-0.009259853433782217,0.01160398375049132,0.003490321993578238,0.009724520584524422,0.007675378113038508,0.007181022986187991,0.0076436894510279445,153.7302,153.95210000000003,153.5588,151.61246,153.7747712885859,153.33010494133038,50.55874592581086,1.6495000000000013,147010336.1,0.8257579992023432,-0.11065901393367994,-1.443000000000012,1.7709999999999866,0.5369999999999777,-0.9259853433782179,1.160398375049133,153.5588,155.91389942577047,151.20370057422952,0.03067358465643748,0.4446663472555201,0.605125116347086,-0.16045876909156587,0.007336866846824622,1
2014-04-10,154.391,154.457,150.934,151.127,209556152,-0.021141128692734545,-0.028902811244979842,-0.00785824952075842,-0.006599575365967447,0.012970104156581655,0.010444937777033288,0.00827270615141021,0.008018148243653376,152.8306,153.8324,153.5086,151.72060000000002,153.3674218595727,153.16691198271332,41.93216193602373,1.726785714285715,148053552.75,1.4154077906786333,0.7262343533353086,-4.4979999999999905,-1.1970000000000027,-1.0039999999999907,-2.890281124497986,-0.7858249520758401,153.5086,156.02885398887142,150.98834601112858,0.032835345887740716,0.20050987685937116,0.5242020684495431,-0.32369219159017193,0.005353170347190483,0
2014-04-11,150.332,151.337,149.604,149.769,202597721,-0.008985819873351564,-0.026190367822519267,-0.021443832448007405,-0.012800653874801449,0.012708834687069867,0.010543906344118465,0.00848461937504223,0.008069903764744892,152.025,153.50420000000003,153.4115,151.77098,152.8138184965615,152.91521479880862,40.05779636005906,1.7063571428571416,148815471.5,1.3614022719405219,-0.03320556773728123,-4.027999999999992,-3.2819999999999823,-1.9420000000000073,-2.619036782251924,-2.1443832448007414,153.4115,156.33995046146669,150.4830495385333,0.03817771759570431,-0.10139630224711027,0.3990823943102124,-0.5004786965573227,0.005087869515943362,0
